complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,defect
10,824,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0
63,1436,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
63,1436,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
63,1436,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
50,2993,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
62,1440,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
62,1440,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
62,1440,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
63,1428,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
63,1428,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
63,1428,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
150,2618,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,0
69,1548,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
69,1548,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
