,complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,change_type,added,removed,defect
159,63,1425,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,1,1,0
160,63,1425,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,1,1,0
161,62,1381,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,0,7,0
162,62,1381,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,0,7,0
163,62,1381,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,0,7,0
164,64,1421,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,8,0,0
165,64,1421,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,8,0,0
166,64,1421,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,8,0,0
167,63,1405,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,0,4,0
168,63,1405,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,0,4,0
169,63,1405,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,0,4,0
170,43,2647,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,0,5,0
171,307,7644,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,2,1,1,0
172,307,7644,669,365,481,22,61,110,691,15,103,63,122,118,185,747,1273,8,11311,628,0,2,1,1,0
173,75,1589,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,2,0,3,0
174,75,1589,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,0,3,0
175,75,1589,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
176,75,1589,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
177,75,1589,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
178,75,1589,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
179,75,1589,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
180,75,1589,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,2,0,3,0
181,75,1589,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
182,75,1589,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
183,75,1589,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
184,75,1589,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
185,75,1589,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
186,75,1589,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
187,75,1589,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,2,0,3,0
188,75,1589,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,2,0,3,0
189,20,491,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,2,9,0,0
190,20,491,1165,710,800,67,119,181,1232,18,243,153,282,261,435,2000,3492,10,36473,2026,1,2,9,0,0
191,12,236,1392,870,1177,35,17,170,1427,14,494,280,531,508,811,4473,7289,7,54850,3047,2,2,8,0,0
192,23,517,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,2,41,1,0
193,23,517,819,519,539,24,98,155,843,15,96,57,106,111,163,690,1107,8,9171,509,0,2,41,1,0
